V1,V2
X,500108
Y,502742
Y,537810
X,537872
Y,533358
Y,539968
Y,281814
Y,118072
Y,86756
Y,78690
X,253000
Y,81204
X,76834
X,75912
X,74916
X,75946
Y,77338
X,76762
X,75660
X,75458
Y,75526
Y,74600
X,74530
X,75064
X,75320
Y,75212
X,75558
X,75790
X,76160
X,75388
Y,78446
X,76118
X,75304
Y,75148
Y,75800
X,75892
Y,75500
X,75864
Y,74740
X,75090
X,75602
X,75030
Y,74918
X,75392
X,74888
X,74692
X,75124
Y,75202
Y,74646
X,75288
Y,75908
X,75172
X,75632
Y,74754
Y,75490
X,74280
Y,75200
Y,75734
Y,75100
Y,75348
X,76486
X,75670
Y,75920
Y,75538
Y,74916
X,75664
Y,74928
X,75572
X,74576
X,75198
Y,75916
X,75662
X,75526
Y,75234
X,74932
X,74758
Y,75200
X,77412
X,75126
X,74584
Y,75308
X,75400
Y,75218
X,74794
X,74982
X,74302
X,75010
X,75556
X,75104
X,75652
X,75124
Y,75348
X,76272
Y,75496
X,76346
X,75106
Y,75148
Y,75640
X,74614
Y,74836
X,74496
X,75590
Y,74076
Y,75760
X,75320
Y,75372
X,75314
X,76436
X,75252
Y,76824
Y,75474
Y,75674
Y,74298
Y,75082
X,74698
Y,74756
X,75674
X,75550
Y,75912
X,75084
X,75316
X,75606
Y,75302
Y,75378
X,76824
X,74318
X,76162
Y,75424
X,74948
X,75106
X,101630
Y,76770
Y,75546
Y,75118
Y,75544
Y,75794
X,74054
Y,75704
Y,75004
Y,75382
X,74418
Y,74696
Y,75044
X,75104
Y,75018
X,75168
Y,75616
X,74670
Y,74630
X,74226
Y,74852
X,74554
Y,74448
X,74878
Y,74872
X,74942
X,76724
Y,75412
Y,75894
Y,74058
X,75024
X,74366
X,74416
Y,74342
X,75374
Y,75240
X,74502
Y,75110
Y,74846
Y,75520
X,75078
Y,75478
X,75056
X,75594
X,74586
X,75302
Y,74868
X,74902
Y,74810
X,74456
X,75164
Y,75432
X,74402
Y,74604
Y,75042
Y,75298
Y,75272
Y,75548
Y,75380
X,75208
Y,75758
Y,75266
X,74676
X,74628
X,74362
Y,74142
X,74088
X,75050
X,74820
X,75208
X,75350
X,74342
Y,75106
Y,75768
X,74798
Y,74368
X,74918
Y,74618
Y,75168
Y,74456
X,75276
X,75326
X,74686
Y,74732
Y,75224
Y,75064
Y,74814
X,75500
X,75466
Y,74876
Y,75982
X,74774
X,75854
Y,75254
X,75246
Y,74970
Y,74372
Y,125096
X,86296
Y,86536
X,85550
Y,86520
X,86302
X,86152
Y,86434
Y,86350
Y,85250
X,85748
X,85756
X,85636
Y,86428
X,85842
Y,85162
X,85360
X,86022
Y,86122
X,86638
X,86118
Y,86276
X,85674
Y,85704
Y,86274
Y,85622
Y,86222
Y,86274
X,85834
Y,86680
Y,86960
X,85962
X,105158
X,87142
X,85586
Y,86492
Y,85926
X,85924
X,86060
X,85476
X,86744
Y,85744
X,85568
Y,85308
Y,85854
Y,90268
X,86100
X,86828
Y,86150
X,85938
Y,86268
Y,86212
X,86696
Y,86278
X,86342
Y,85688
Y,86248
Y,86644
X,86198
X,86784
Y,86922
Y,85792
X,86078
X,86286
Y,85518
Y,86168
X,86336
Y,86368
X,86174
X,85862
X,108918
Y,88474
X,87738
X,86462
X,85740
Y,86198
X,86388
X,85786
Y,86542
Y,86450
X,86566
Y,86570
Y,86812
Y,86000
X,85598
Y,85372
Y,86214
Y,85930
Y,86372
Y,87194
X,86682
Y,86848
Y,86128
X,86018
Y,86098
X,86146
X,85476
Y,85982
Y,86052
Y,85722
X,86702
Y,86386
Y,85754
X,86318
X,86350
X,85988
X,85522
Y,86272
X,86250
X,86178
X,86878
Y,86648
X,86420
Y,86980
X,86212
Y,86604
X,86592
X,85752
Y,86156
Y,86008
Y,86520
Y,86660
Y,85752
Y,86460
X,85466
Y,85996
X,86120
X,86090
Y,86842
Y,85758
Y,86926
Y,86532
Y,86134
Y,86260
Y,86072
X,86332
Y,86204
X,86152
Y,86184
Y,85184
Y,86328
X,86018
Y,86144
Y,86676
Y,85832
Y,85548
X,85772
X,86370
X,85622
Y,86326
X,86880
X,85992
X,85878
Y,87066
Y,87282
X,86598
X,86930
X,85574
X,86000
Y,85772
Y,86634
X,86078
X,86476
Y,85442
X,86358
X,86844
X,86336
X,86340
Y,86130
Y,85430
Y,86294
X,85748
X,85582
X,86348
X,86224
X,86164
X,86376
X,86054
Y,85816
Y,85360
Y,86502
Y,85368
Y,87476
X,86222
Y,86122
Y,87168
Y,86616
Y,86622
Y,85872
X,86618
Y,85616
X,86282
Y,85806
X,85814
X,86268
X,86814
Y,86898
X,85656
X,86238
X,86196
Y,86738
X,86364
X,85730
Y,86438
X,85980
X,85156
Y,86468
X,86826
Y,86038
X,86340
X,86290
X,86460
Y,85944
X,86400
X,86866
Y,86524
Y,86432
Y,86420
Y,85352
Y,86690
Y,87076
X,86322
X,86732
X,87244
X,85950
Y,86420
Y,102148
Y,74420
Y,77674
X,77072
X,78648
Y,77680
X,77198
Y,77914
X,77412
Y,77772
X,77120
Y,77858
Y,77106
X,77112
X,77588
X,77242
Y,77906
Y,77696
X,77336
X,77584
Y,77426
Y,77996
X,76920
X,77348
Y,77796
X,78296
Y,78334
X,77234
X,77088
X,77640
Y,76432
X,77204
Y,78202
X,77520
Y,77708
X,77892
X,77310
Y,77704
X,78560
X,78294
X,77796
X,77510
X,78466
Y,77678
X,77874
X,77072
Y,77276
X,77442
X,76618
Y,77286
Y,76708
X,78164
Y,77586
Y,77770
Y,78464
X,78310
X,79056
X,78438
Y,77718
Y,76832
X,77248
Y,77642
X,76866
X,77618
X,77426
X,77536
X,77324
Y,77484
X,76660
Y,77306
Y,77100
X,76506
X,76696
X,77952
X,77562
X,77442
X,77690
Y,77992
Y,77224
X,77556
X,77628
Y,77378
X,77168
Y,76546
Y,77736
Y,77970
X,77842
Y,77970
X,76782
Y,78404
Y,77356
Y,77396
X,79872
Y,78754
X,78678
Y,77354
X,77622
X,78228
X,78104
Y,77452
X,77414
X,78570
Y,78252
Y,78334
X,77974
Y,78136
Y,77538
Y,78028
X,77136
X,77116
Y,77664
Y,78036
X,77618
X,78734
Y,78014
X,77144
Y,77556
Y,78052
Y,78522
Y,78136
Y,77904
X,78548
X,77224
Y,77444
Y,77510
X,77720
X,77204
X,77862
Y,76862
X,76764
Y,77570
X,78222
X,77678
Y,77424
X,78290
X,77820
X,78452
Y,77204
Y,77900
X,77720
Y,77208
X,77476
X,77860
X,78022
X,78654
X,77840
X,77002
X,77116
X,77538
Y,78146
X,78274
X,77938
X,77796
X,79100
Y,78348
X,78130
X,77382
X,77812
Y,77854
X,76884
Y,78052
X,77288
X,77912
X,77476
X,77532
Y,76792
X,77660
Y,77908
X,78094
X,76978
X,78502
X,77374
Y,76766
X,97496
X,78340
X,78018
Y,77450
Y,78228
Y,78448
X,78236
X,77358
Y,78200
Y,76740
Y,78944
Y,77996
X,78342
Y,77836
X,77494
X,76822
X,77148
X,77714
X,77802
Y,78240
X,77426
X,78394
X,77410
X,77330
Y,77540
X,77778
Y,77566
X,77682
X,77782
Y,77030
Y,78728
X,78192
X,77624
X,77750
X,77532
X,77338
X,76938
X,77910
Y,77642
Y,77756
X,76992
Y,78106
Y,77958
Y,77054
X,78860
Y,77778
Y,77082
Y,77374
X,77526
X,77040
X,78266
X,77958
Y,78242
X,77106
X,77358
Y,77888
X,78076
Y,77934
Y,76802
Y,78116
X,76940
X,77720
X,77898
X,77618
Y,78312
X,77798
X,77264
X,77408
Y,77364
X,76900
Y,77270
X,78466
Y,77290
X,77086
X,78332
Y,77698
Y,77846
X,77396
Y,77572
Y,77288
X,77688
X,77964
Y,77928
Y,77310
Y,77192
Y,76562
X,77542
X,77086
Y,78004
Y,77788
X,78042
X,77644
Y,77844
Y,77836
Y,77436
X,77748
X,77264
Y,77958
Y,78176
X,77068
X,77454
X,78086
X,77506
X,77754
X,78018
Y,77766
X,78752
X,77092
Y,78046
X,77712
X,77894
Y,77644
X,77222
X,78120
X,77924
Y,77920
X,76882
Y,77644
Y,77546
Y,78040
Y,77564
Y,78104
X,77328
X,77402
Y,77326
X,77976
X,76842
X,78158
Y,77508
X,76740
X,77178
Y,77948
Y,78150
Y,77872
Y,77180
X,77232
X,77726
Y,78054
X,78740
X,77342
Y,78082
X,79986
Y,77604
Y,77468
X,77784
X,77808
Y,77654
Y,77328
X,78338
X,77272
X,77298
Y,77300
X,77916
X,77782
X,77936
Y,77660
X,78146
X,77450
Y,77814
Y,77284
Y,78208
X,78596
X,77482
Y,77622
X,77532
X,77876
X,77360
X,76732
X,77426
Y,77182
Y,78310
X,78268
Y,90268
X,82928
Y,70406
Y,68504
Y,68758
Y,69114
X,69792
X,69448
X,69014
X,69682
Y,69316
X,69214
X,68542
Y,69394
X,68826
X,69080
X,69224
Y,68936
X,68728
Y,69516
Y,71068
Y,69278
X,68792
Y,69468
X,69334
X,69732
X,69866
Y,69508
Y,69618
Y,70050
Y,70142
X,70930
X,71224
X,69280
X,69498
X,69730
Y,69206
Y,69630
X,69268
X,69378
X,69850
Y,69324
X,68922
Y,69424
X,68634
Y,69658
Y,68910
Y,68672
X,68860
Y,69580
Y,69442
X,69682
Y,68878
X,70084
Y,68946
X,69228
Y,69040
X,69404
Y,69416
Y,69240
Y,69486
X,69152
X,70226
Y,69682
X,69168
Y,69404
X,69966
Y,68694
X,70230
X,69198
X,68606
X,69086
X,69976
X,69646
Y,69192
X,69578
Y,69256
X,68998
X,69822
X,70068
Y,69074
Y,68766
Y,70036
Y,68618
X,69388
X,69036
X,68882
X,69452
Y,69196
Y,69522
Y,68754
X,69206
X,69872
Y,69608
X,69924
X,69972
X,69428
Y,68806
Y,69092
Y,69154
X,69202
X,69324
Y,69884
Y,69376
Y,69774
Y,69310
Y,69358
X,69452
X,69454
X,69648
X,69516
Y,69144
Y,69212
X,69378
Y,68776
X,69648
Y,69722
Y,69734
X,69524
X,69654
X,68688
X,69788
Y,68852
Y,69726
X,69850
X,68782
X,68854
X,69954
X,69664
Y,69136
X,69350
Y,69594
X,69468
X,68906
X,69092
Y,68918
Y,68756
X,69578
X,69280
X,69514
X,68914
Y,68778
Y,68638
X,69212
Y,68814
X,68390
Y,69628
X,68900
Y,68242
Y,69340
X,69902
X,69416
Y,69340
X,68760
X,69136
Y,69346
X,69782
X,69390
X,69988
X,69672
X,70352
X,68734
X,68986
X,69464
Y,67836
Y,69672
X,69450
X,69034
Y,68696
X,69172
X,69538
Y,68998
Y,69292
X,69400
X,69056
Y,69546
Y,69458
X,69092
X,69760
Y,70074
X,69638
X,69410
X,69130
X,69518
X,69044
X,69774
X,69414
X,69406
X,69554
Y,68918
Y,69778
Y,70378
X,70076
X,70274
Y,84246
X,69848
X,70030
X,68904
X,68880
X,69500
X,68818
Y,69604
Y,68828
X,69390
Y,68854
X,69748
X,69486
Y,69128
Y,69594
X,69060
Y,68244
X,69136
X,68894
Y,69386
X,69626
X,68822
X,70104
Y,69600
Y,70304
X,70224
Y,68730
X,69064
Y,70470
Y,69518
X,69402
Y,68918
Y,69268
Y,68548
X,69638
Y,69594
Y,68838
X,69600
Y,68918
X,69202
Y,69850
X,69274
Y,69282
X,69328
X,69032
Y,69508
Y,69242
Y,69724
Y,68974
X,69118
X,68812
X,69752
X,68822
Y,68860
X,68718
Y,69704
Y,68748
Y,68214
X,68766
X,69076
X,69850
X,68546
X,69270
X,69034
X,68924
Y,69478
X,69230
X,68612
Y,69202
Y,69610
Y,68674
Y,68894
Y,70000
X,68826
X,68958
X,70266
Y,68860
X,68686
X,68780
Y,69560
Y,69112
X,68698
Y,68670
Y,69392
X,68782
Y,70390
Y,69012
X,68726
Y,68660
Y,69642
Y,69438
Y,70020
Y,69622
X,69028
Y,69802
Y,69264
X,69540
Y,68742
X,68714
X,70924
Y,69134
X,69184
X,69784
X,68924
X,69550
X,69348
X,69410
Y,69024
Y,69836
Y,69642
Y,69486
Y,68356
Y,70036
Y,68874
Y,69198
X,69986
Y,68612
X,68652
Y,69218
Y,69330
X,68338
Y,69040
X,69552
Y,69492
Y,69880
X,69006
X,68580
X,69542
X,69348
X,68488
Y,69160
Y,69574
Y,69524
X,68990
X,69108
Y,68932
Y,68908
X,68884
X,69408
X,69662
X,69154
Y,69474
Y,70746
X,69006
Y,68780
Y,70292
X,69326
Y,69368
X,69418
Y,68952
X,69238
X,69374
X,68572
Y,69282
X,69650
Y,69666
Y,70712
Y,69322
Y,70626
X,69280
Y,69164
Y,70202
X,69580
X,68992
Y,68786
Y,69272
Y,68822
X,69668
X,68572
X,69910
X,68700
Y,68998
Y,69614
Y,69004
X,68710
X,69682
X,69812
Y,69424
Y,69396
X,69974
Y,69404
Y,69996
Y,69166
X,69782
X,68354
X,69496
X,69360
X,69198
Y,69990
Y,69978
X,69634
X,69996
X,69314
X,88004
X,72886
X,69610
Y,69544
Y,68768
X,69476
X,69742
X,68884
X,69340
Y,69222
Y,70018
Y,69296
X,70022
Y,68718
X,69094
Y,69456
X,69628
X,68648
Y,69012
Y,69212
X,69778
Y,69406
Y,69292
X,68994
X,70016
X,69804
Y,69324
X,70292
Y,69740
X,68888
X,68860
X,68832
X,69352
X,68728
X,71216
X,68534
X,68604
Y,68750
X,69210
X,69422
Y,69612
Y,69148
X,69682
Y,68720
X,68664
Y,69066
X,69534
X,69322
X,69404
X,69772
Y,69040
X,69616
X,69216
Y,68468
X,70036
Y,68936
X,69670
Y,69100
Y,69016
Y,70408
Y,68600
X,69818
X,69070
Y,69448
Y,69252
Y,69696
Y,69044
X,69558
Y,69864
X,69290
X,69050
Y,68474
Y,69366
X,69248
X,68904
X,69726
X,68968
X,69380
Y,69318
X,68926
X,68240
Y,68030
X,69766
Y,68896
Y,69610
Y,69386
X,68864
Y,69570
Y,68606
X,69094
X,69168
X,69860
Y,69510
Y,70030
Y,69342
Y,68626
Y,68334
X,68890
X,69420
Y,69016
Y,69202
Y,70118
Y,69318
X,69448
Y,69120
X,69204
Y,69270
Y,69706
Y,68792
X,69550
Y,68750
X,69280
X,69472
Y,69074
X,69084
Y,68938
Y,69484
Y,69142
X,69594
X,68522
X,70286
X,69448
Y,69344
Y,70220
Y,70288
X,69974
X,69874
X,68700
Y,68708
X,69032
X,69712
Y,69626
Y,69684
X,69640
Y,68594
X,69604
Y,69552
X,70318
X,68698
X,69160
Y,69188
X,69386
X,69446
X,69780
Y,69550
X,68716
X,69712
Y,69604
X,68472
X,69680
Y,69434
Y,70596
X,70288
X,69222
Y,69946
X,70340
Y,69888
Y,69688
Y,69060
Y,68826
X,69112
Y,68178
X,69804
X,69258
X,69216
X,69206
Y,69634
Y,69330
Y,69654
Y,69522
Y,69194
X,69288
Y,69016
X,68758
X,68860
X,69086
X,69518
X,69416
Y,69726
Y,69282
X,71762
X,69206
Y,70192
X,68608
Y,69034
Y,69094
X,69796
X,70074
X,69404
Y,70098
X,69842
X,69614
X,69144
X,79716
Y,59456
X,70290
Y,70274
Y,69764
